,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
87,3.8911399841308594,0.24902103987486693,0.0038887977600097655,0.0004179461071679886,0.01,exponential,10,auto,1,50,600,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 600, 'subsample': 0.5}",0.8695652173913043,0.835820895522388,0.8805970149253731,0.8805970149253731,0.8656716417910447,0.8664688427299704,0.01637687635343803,1,1.0,1.0,1.0,1.0,0.9962962962962963,0.9992592592592592,0.0014814814814814612
66,0.8793034076690673,0.04526343402292821,0.003497886657714844,0.000676557228959971,0.01,exponential,10,75,1,50,400,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 75, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 400, 'subsample': 0.5}",0.8405797101449275,0.8507462686567164,0.8507462686567164,0.9104477611940298,0.8507462686567164,0.8605341246290801,0.025179027770871595,2,0.9888059701492538,0.9962962962962963,0.9814814814814815,0.9851851851851852,0.9925925925925926,0.9888723051409618,0.005237933020995818
85,1.236032485961914,0.054100214938168925,0.002471780776977539,0.0002452924035390619,0.01,exponential,10,auto,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.8405797101449275,0.8507462686567164,0.8656716417910447,0.8955223880597015,0.8507462686567164,0.8605341246290801,0.01918983567354883,2,0.9701492537313433,0.9814814814814815,0.9592592592592593,0.9592592592592593,0.9740740740740741,0.9688446655610836,0.008631312857704196
75,0.7341419696807862,0.03980070573424049,0.0025884151458740235,0.0003585087291364336,0.01,exponential,10,100,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.8260869565217391,0.8507462686567164,0.8656716417910447,0.8955223880597015,0.8656716417910447,0.8605341246290801,0.02271298299833244,2,0.9626865671641791,0.9666666666666667,0.9629629629629629,0.9444444444444444,0.9703703703703703,0.9614262023217247,0.00894193337081133
77,2.059927463531494,0.1403543656838023,0.005634498596191406,0.0025310408035742198,0.01,exponential,10,100,1,50,600,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 600, 'subsample': 0.5}",0.8405797101449275,0.8507462686567164,0.8656716417910447,0.8955223880597015,0.8507462686567164,0.8605341246290801,0.01918983567354883,2,1.0,1.0,1.0,1.0,0.9962962962962963,0.9992592592592592,0.0014814814814814612
74,0.5205365180969238,0.04052465835273162,0.006186389923095703,0.0035432157260356684,0.01,exponential,10,100,1,50,100,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 100, 'subsample': 0.5}",0.8260869565217391,0.8507462686567164,0.8507462686567164,0.9104477611940298,0.8507462686567164,0.857566765578635,0.02804651936004661,6,0.9477611940298507,0.9518518518518518,0.9407407407407408,0.9444444444444444,0.9444444444444444,0.9458485351022665,0.003734449907537119
65,0.44316492080688474,0.005946109494670886,0.0023604869842529298,0.00015464525239454374,0.01,exponential,10,75,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 75, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.8405797101449275,0.8507462686567164,0.8507462686567164,0.8955223880597015,0.8507462686567164,0.857566765578635,0.019319518586140356,6,0.9552238805970149,0.9703703703703703,0.9592592592592593,0.9481481481481482,0.9703703703703703,0.9606744057490326,0.008679187212872825
45,0.28169002532958987,0.011405637709245015,0.002436208724975586,0.0002887072152188214,0.01,exponential,10,25,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 25, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.7971014492753623,0.8656716417910447,0.8805970149253731,0.8805970149253731,0.8507462686567164,0.8545994065281899,0.031192468872202325,8,0.9402985074626866,0.9666666666666667,0.9481481481481482,0.9555555555555556,0.9703703703703703,0.9562078496406855,0.011211202355328924
55,0.3811976909637451,0.0305913848840286,0.002347898483276367,0.0001378286567362386,0.01,exponential,10,50,1,50,200,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 50, 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 200, 'subsample': 0.5}",0.8405797101449275,0.8507462686567164,0.835820895522388,0.8955223880597015,0.8507462686567164,0.8545994065281899,0.021194462631946114,8,0.9477611940298507,0.9740740740740741,0.9555555555555556,0.9444444444444444,0.9666666666666667,0.9577003869541183,0.01120356792561828
86,2.54152364730835,0.13938626400004483,0.0030234336853027345,0.00010488535972406606,0.01,exponential,10,auto,1,50,400,0.5,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 50, 'n_estimators': 400, 'subsample': 0.5}",0.8260869565217391,0.8507462686567164,0.835820895522388,0.8955223880597015,0.8656716417910447,0.8545994065281899,0.024430207730629126,8,0.9888059701492538,0.9962962962962963,0.9925925925925926,0.9962962962962963,0.9962962962962963,0.9940574903261471,0.0029920276086299337
