,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_loss,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
27,4.54693636894226,0.08566723659511834,0.0056727886199951175,0.0003702108114003175,0.01,exponential,50,100,1,15,600,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 600, 'subsample': 0.75}",0.8,0.8,0.8620689655172413,0.8275862068965517,0.6896551724137931,0.7958866264197278,0.05762863158276396,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
38,1.3357212543487549,0.038794895175344804,0.003384685516357422,0.0003546819021196393,0.1,exponential,50,100,1,15,800,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 800, 'subsample': 0.75}",0.8,0.8333333333333334,0.7931034482758621,0.8275862068965517,0.7241379310344828,0.7957570176336165,0.03887325392158497,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
36,1.2386353492736817,0.041704892999027056,0.003438997268676758,0.00046077471614027783,0.1,exponential,50,100,1,15,400,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 400, 'subsample': 0.75}",0.8333333333333334,0.8,0.7931034482758621,0.7931034482758621,0.7241379310344828,0.7889013949998295,0.03555437059741609,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
32,0.21222662925720215,0.017106374025436414,0.0022468090057373045,7.186307751936358e-05,0.1,exponential,50,100,1,15,25,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 25, 'subsample': 0.75}",0.7333333333333333,0.8333333333333334,0.8275862068965517,0.7931034482758621,0.7241379310344828,0.7823049899382652,0.04596543522131945,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
26,3.074484348297119,0.05967743313371924,0.004809427261352539,0.00044368598090092866,0.01,exponential,50,100,1,15,400,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 400, 'subsample': 0.75}",0.7333333333333333,0.8333333333333334,0.7931034482758621,0.8275862068965517,0.6896551724137931,0.7754493673044782,0.05567553560574892,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
29,7.492600917816162,0.1702903486279437,0.008060884475708009,0.0006036583919021803,0.01,exponential,50,100,1,15,1000,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 1000, 'subsample': 0.75}",0.7666666666666667,0.8333333333333334,0.8275862068965517,0.7586206896551724,0.6896551724137931,0.775319758518367,0.05245707024838245,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
28,6.100291538238525,0.19861995399027188,0.007485628128051758,0.0008034662535235111,0.01,exponential,50,100,1,15,800,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 800, 'subsample': 0.75}",0.8,0.8333333333333334,0.7586206896551724,0.7931034482758621,0.6896551724137931,0.7751901497322556,0.0487779554558524,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
34,0.7612250328063965,0.029847130579210075,0.0026270389556884766,1.3408877939391133e-05,0.1,exponential,50,100,1,15,100,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100, 'subsample': 0.75}",0.8,0.8,0.7931034482758621,0.7586206896551724,0.6896551724137931,0.76846413588458,0.042143877629681845,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
37,1.2858439445495606,0.09141313813545236,0.0035706043243408205,0.0006480184769708274,0.1,exponential,50,100,1,15,600,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 600, 'subsample': 0.75}",0.8,0.8,0.7586206896551724,0.7586206896551724,0.7241379310344828,0.76846413588458,0.02881845415291995,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
33,0.39637060165405275,0.022250728549719986,0.002363252639770508,8.271790267664236e-05,0.1,exponential,50,100,1,15,50,0.75,"{'learning_rate': 0.1, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 50, 'subsample': 0.75}",0.8,0.8,0.7931034482758621,0.7586206896551724,0.6896551724137931,0.76846413588458,0.042143877629681845,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
24,0.7476049423217773,0.026828058147916688,0.0026212692260742187,4.7888934083732264e-05,0.01,exponential,50,100,1,15,100,0.75,"{'learning_rate': 0.01, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 100, 'subsample': 0.75}",0.7,0.8,0.8275862068965517,0.7931034482758621,0.6896551724137931,0.7619973396091272,0.05617026330995933,11,0.9914529914529915,1.0,1.0,0.9915254237288136,0.9745762711864406,0.9915109372736491,0.009283478389101832
19,7.690180683135987,0.1854463729494435,0.008363962173461914,0.00029538416643482647,0.001,exponential,50,100,1,15,1000,0.75,"{'learning_rate': 0.001, 'loss': 'exponential', 'max_depth': 50, 'max_features': 100, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 1000, 'subsample': 0.75}",0.7,0.8,0.8275862068965517,0.7931034482758621,0.6896551724137931,0.7619973396091272,0.05617026330995933,11,0.9914529914529915,1.0,1.0,0.9830508474576272,1.0,0.9949007677821238,0.006786962221025301
