,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_shrinking,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
125,0.02165851593017578,0.002562885555119722,0.004616355895996094,0.0006934564706477762,128,0.0001,True,0.001,"{'C': 128, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.7205882352941176,0.7761194029850746,0.7910447761194029,0.8656716417910447,0.7744807121661721,0.053670013202602174,1,0.9182156133828996,0.9182156133828996,0.9,0.9111111111111111,0.9037037037037037,0.9102492083161227,0.007423745652195024
92,0.03133869171142578,0.004742660096580587,0.007168388366699219,0.0018240537368495585,16,0.0001,True,0.001,"{'C': 16, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.7352941176470589,0.7352941176470589,0.7761194029850746,0.7313432835820896,0.835820895522388,0.7626112759643917,0.039967117116635864,2,0.8475836431226765,0.8513011152416357,0.8222222222222222,0.8407407407407408,0.825925925925926,0.8375547294506402,0.01157590384395607
103,0.022556114196777343,0.0008766797030544737,0.005563783645629883,0.0007160714012695591,32,0.0001,True,0.001,"{'C': 32, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.7761194029850746,0.7910447761194029,0.8507462686567164,0.7626112759643917,0.058484027060780534,2,0.8698884758364313,0.8736059479553904,0.8629629629629629,0.8666666666666667,0.8666666666666667,0.8679581440176236,0.0035752351395416026
114,0.023116064071655274,0.0023038464373065157,0.004842281341552734,0.0004995077602255492,64,0.0001,True,0.001,"{'C': 64, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.7611940298507462,0.7761194029850746,0.8656716417910447,0.7596439169139466,0.06179472167700646,4,0.8996282527881041,0.9070631970260223,0.8851851851851852,0.8814814814814815,0.8851851851851852,0.8917086603331956,0.009881177915426611
60,0.02163100242614746,0.0019780964759330308,0.004884481430053711,0.00014718457723642266,2,0.001,True,0.001,"{'C': 2, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7058823529411765,0.7205882352941176,0.7910447761194029,0.746268656716418,0.8208955223880597,0.7566765578635015,0.04312406768055621,5,0.8475836431226765,0.862453531598513,0.8407407407407408,0.8444444444444444,0.8518518518518519,0.8494148423516453,0.007473213730502554
124,0.02436661720275879,0.0026332613990045655,0.005371999740600586,0.0005054265233897815,128,1e-05,True,0.001,"{'C': 128, 'gamma': 1e-05, 'shrinking': True, 'tol': 0.001}",0.7352941176470589,0.7205882352941176,0.7761194029850746,0.7313432835820896,0.8208955223880597,0.7566765578635015,0.03711761475909636,5,0.8327137546468402,0.8364312267657993,0.8222222222222222,0.837037037037037,0.8222222222222222,0.8301252925788241,0.006620486317884166
93,0.026316404342651367,0.0018406004794298606,0.005060577392578125,0.000680449224465743,16,0.001,True,0.001,"{'C': 16, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7058823529411765,0.7352941176470589,0.7313432835820896,0.7611940298507462,0.835820895522388,0.7537091988130564,0.044508822590132065,7,0.9553903345724907,0.9479553903345725,0.937037037037037,0.9444444444444444,0.9296296296296296,0.9428913672036348,0.008881750161489975
135,0.024167966842651368,0.0055190351536852636,0.005296468734741211,0.0012589893571091262,256,1e-05,True,0.001,"{'C': 256, 'gamma': 1e-05, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.7611940298507462,0.7611940298507462,0.8507462686567164,0.7537091988130564,0.05607960954636623,7,0.862453531598513,0.8587360594795539,0.8555555555555555,0.8518518518518519,0.8444444444444444,0.8546082885859837,0.0061706614943595845
49,0.02107205390930176,0.00044099442556501037,0.006654167175292968,0.0031598811093470815,1,0.001,True,0.001,"{'C': 1, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.7352941176470589,0.7611940298507462,0.7313432835820896,0.8059701492537313,0.7507418397626113,0.030570657050681224,9,0.828996282527881,0.8364312267657993,0.8037037037037037,0.8185185185185185,0.8111111111111111,0.8197521685254028,0.01181006025545371
71,0.02236204147338867,0.002063984273824452,0.004687786102294922,0.00014991846703141785,4,0.001,True,0.001,"{'C': 4, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.6911764705882353,0.7313432835820896,0.7761194029850746,0.835820895522388,0.744807121661721,0.055123295796534105,10,0.8921933085501859,0.8884758364312267,0.8851851851851852,0.8777777777777778,0.8740740740740741,0.88354123640369,0.00670456285471342
82,0.026003026962280275,0.003543260841562685,0.004703378677368164,0.0004383345800492663,8,0.001,True,0.001,"{'C': 8, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.7164179104477612,0.7611940298507462,0.835820895522388,0.7418397626112759,0.05232379726334837,11,0.9219330855018587,0.9219330855018587,0.9037037037037037,0.9222222222222223,0.9074074074074074,0.9154399008674101,0.008155759331961636
136,0.020845556259155275,0.001656779428383066,0.0039332866668701175,0.00018404176116064753,256,0.0001,True,0.001,"{'C': 256, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.7058823529411765,0.6764705882352942,0.7164179104477612,0.7611940298507462,0.8208955223880597,0.7359050445103857,0.050332954223403496,12,0.9479553903345725,0.9405204460966543,0.9222222222222223,0.9444444444444444,0.9222222222222223,0.9354729450640231,0.011071944900513365
81,0.02746109962463379,0.004765105317103859,0.007667255401611328,0.002986642708059853,8,0.0001,True,0.001,"{'C': 8, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.7058823529411765,0.7205882352941176,0.7611940298507462,0.6865671641791045,0.7910447761194029,0.7329376854599406,0.03789437024878863,13,0.8215613382899628,0.8178438661710037,0.8,0.8185185185185185,0.8,0.811584744595897,0.009541476407168792
104,0.027661657333374022,0.0029731829876912417,0.005731630325317383,0.002478327917910417,32,0.001,True,0.001,"{'C': 32, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.7164179104477612,0.8507462686567164,0.7329376854599406,0.06019739797450612,13,0.9739776951672863,0.9628252788104089,0.9555555555555556,0.9703703703703703,0.9518518518518518,0.9629161503510947,0.008420552054084766
38,0.02188420295715332,0.0006620222397922714,0.005169010162353516,7.006871772883819e-05,0.75,0.001,True,0.001,"{'C': 0.75, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.7352941176470589,0.7164179104477612,0.6865671641791045,0.8059701492537313,0.7329376854599406,0.03967443236342073,13,0.8104089219330854,0.8252788104089219,0.7814814814814814,0.7925925925925926,0.7851851851851852,0.7989893983202534,0.01648964088960725
113,0.03310360908508301,0.00746208896288729,0.005864191055297852,0.0005140069989812934,64,1e-05,True,0.001,"{'C': 64, 'gamma': 1e-05, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7205882352941176,0.7164179104477612,0.6865671641791045,0.7761194029850746,0.7181008902077152,0.03185931732067438,16,0.8215613382899628,0.79182156133829,0.7851851851851852,0.7925925925925926,0.7814814814814814,0.7945284317775025,0.014137693053307011
28,0.023743820190429688,0.0005304386228872621,0.00841217041015625,0.005392007023611063,0.5,0.01,True,0.001,"{'C': 0.5, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7058823529411765,0.6911764705882353,0.7611940298507462,0.7164179104477612,0.7014925373134329,0.7151335311572701,0.02433510655572142,17,0.8513011152416357,0.8736059479553904,0.8555555555555555,0.8518518518518519,0.8444444444444444,0.8553517830097755,0.009806972245998644
72,0.029484367370605467,0.0021595923393632516,0.006293773651123047,0.0003729437579463659,4,0.01,True,0.001,"{'C': 4, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.7014925373134329,0.7611940298507462,0.712166172106825,0.027093128202249583,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
127,0.02996234893798828,0.002325588831490421,0.00646662712097168,0.0005792766287467076,128,0.01,True,0.001,"{'C': 128, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.6865671641791045,0.7611940298507462,0.7091988130563798,0.028859423603241428,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
83,0.03170781135559082,0.003172412246866448,0.005993366241455078,0.00016227665953993896,8,0.01,True,0.001,"{'C': 8, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.6865671641791045,0.7611940298507462,0.7091988130563798,0.028859423603241428,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
138,0.028282642364501953,0.0010119646524296357,0.005880022048950195,8.109268853675717e-05,256,0.01,True,0.001,"{'C': 256, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.6865671641791045,0.7611940298507462,0.7091988130563798,0.028859423603241428,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
61,0.026663827896118163,0.0006630190561025922,0.006113433837890625,0.00037162329545333136,2,0.01,True,0.001,"{'C': 2, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7352941176470589,0.6764705882352942,0.7014925373134329,0.7014925373134329,0.7313432835820896,0.7091988130563798,0.021786393794296054,19,0.9925650557620818,0.9851301115241635,0.9814814814814815,0.9888888888888889,0.9888888888888889,0.9873908853091009,0.0037760355144293447
94,0.03076062202453613,0.0008354371348616113,0.007046031951904297,0.0008260925489200307,16,0.01,True,0.001,"{'C': 16, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.6865671641791045,0.7611940298507462,0.7091988130563798,0.028859423603241428,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
105,0.02981090545654297,0.0024986474431247774,0.006432723999023437,0.00037962627232524096,32,0.01,True,0.001,"{'C': 32, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.6865671641791045,0.7611940298507462,0.7091988130563798,0.028859423603241428,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
27,0.02152857780456543,0.00035308642436305046,0.005174064636230468,7.061306294201438e-05,0.5,0.001,True,0.001,"{'C': 0.5, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.6865671641791045,0.6865671641791045,0.7761194029850746,0.7091988130563798,0.034084847789212475,19,0.7769516728624535,0.7881040892193308,0.762962962962963,0.7703703703703704,0.7481481481481481,0.7693074487126531,0.013422713283440099
116,0.03842859268188477,0.006943957907365791,0.007568788528442383,0.0012006436609493345,64,0.01,True,0.001,"{'C': 64, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6911764705882353,0.6865671641791045,0.6865671641791045,0.7611940298507462,0.7091988130563798,0.028859423603241428,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
39,0.023851966857910155,0.001077887971323075,0.005596256256103516,0.0001835687186427302,0.75,0.01,True,0.001,"{'C': 0.75, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.6617647058823529,0.6911764705882353,0.7313432835820896,0.7014925373134329,0.7313432835820896,0.7032640949554896,0.026289103850082488,27,0.929368029739777,0.9479553903345725,0.9185185185185185,0.9481481481481482,0.9296296296296296,0.9347239432741292,0.01159770753742913
115,0.02986879348754883,0.002630669138168313,0.005210399627685547,0.0015351696587399663,64,0.001,True,0.001,"{'C': 64, 'gamma': 0.001, 'shrinking': True, 'tol': 0.001}",0.7205882352941176,0.6764705882352942,0.6417910447761194,0.6716417910447762,0.8059701492537313,0.7032640949554896,0.057032544873078614,27,0.9925650557620818,0.9851301115241635,0.9740740740740741,0.9888888888888889,0.9851851851851852,0.9851686630868788,0.00619093481131089
17,0.027275753021240235,0.004332587369735604,0.0058386802673339845,5.9562935540949556e-05,0.25,0.01,True,0.001,"{'C': 0.25, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.6617647058823529,0.7611940298507462,0.7014925373134329,0.6865671641791045,0.7002967359050445,0.033036736009691134,29,0.7806691449814126,0.7732342007434945,0.7851851851851852,0.774074074074074,0.7777777777777778,0.7781880765523888,0.004398851595010418
70,0.023694276809692383,0.0007423623029995668,0.005524587631225586,0.0002178078876463441,4,0.0001,True,0.001,"{'C': 4, 'gamma': 0.0001, 'shrinking': True, 'tol': 0.001}",0.6911764705882353,0.7058823529411765,0.7014925373134329,0.6567164179104478,0.746268656716418,0.7002967359050445,0.028655420502394256,29,0.7769516728624535,0.7695167286245354,0.7518518518518519,0.7592592592592593,0.7407407407407407,0.7596640506677682,0.012768892740438261
50,0.027745723724365234,0.0038301303705597085,0.005812788009643554,0.0002643136627015917,1,0.01,True,0.001,"{'C': 1, 'gamma': 0.01, 'shrinking': True, 'tol': 0.001}",0.6764705882352942,0.6764705882352942,0.7164179104477612,0.6865671641791045,0.7313432835820896,0.6973293768545994,0.022384600608926563,31,0.9628252788104089,0.9591078066914498,0.9481481481481482,0.9703703703703703,0.9444444444444444,0.9569792096929642,0.009519859467868612
