,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
427,1.6221817016601563,0.07916841038631221,0.00425562858581543,0.0007614683123685864,0.5,800,50,1,50,10,exponential,0.01,"{'subsample': 0.5, 'n_estimators': 800, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 10, 'loss': 'exponential', 'learning_rate': 0.01}",0.8088235294117647,0.7941176470588235,0.8208955223880597,0.8955223880597015,0.8656716417910447,0.8367952522255193,0.037777191949006854,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
211,1.8939103126525878,0.08289413647500654,0.006132173538208008,0.00026995049930404443,0.75,1000,50,1,25,200,deviance,0.001,"{'subsample': 0.75, 'n_estimators': 1000, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 25, 'max_depth': 200, 'loss': 'deviance', 'learning_rate': 0.001}",0.7941176470588235,0.7941176470588235,0.835820895522388,0.8656716417910447,0.8656716417910447,0.8308605341246291,0.03211796341768997,2,0.9628252788104089,0.9739776951672863,0.9666666666666667,0.9592592592592593,0.9703703703703703,0.9666198540547983,0.0052303641731732105
333,0.08297781944274903,0.013365578209268082,0.0018399715423583984,0.00034902771923610044,1,10,15,3,100,30,deviance,1,"{'subsample': 1, 'n_estimators': 10, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 100, 'max_depth': 30, 'loss': 'deviance', 'learning_rate': 1}",0.8235294117647058,0.7794117647058824,0.8208955223880597,0.8805970149253731,0.835820895522388,0.827893175074184,0.032443628524653045,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
113,6.842337894439697,0.46419726760876956,0.008134222030639649,0.002067162060356797,1,800,8,5,100,20,deviance,0.001,"{'subsample': 1, 'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 5, 'max_features': 100, 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 0.001}",0.8235294117647058,0.8235294117647058,0.7910447761194029,0.8805970149253731,0.8208955223880597,0.827893175074184,0.028976047522477684,3,1.0,0.9962825278810409,0.9962962962962963,0.9962962962962963,1.0,0.9977750240947267,0.0018166921758878884
327,1.2653266429901122,0.061494279191256815,0.005028390884399414,0.0013474263288876121,0.5,600,50,1,50,40,exponential,0.01,"{'subsample': 0.5, 'n_estimators': 600, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 40, 'loss': 'exponential', 'learning_rate': 0.01}",0.7794117647058824,0.8088235294117647,0.8059701492537313,0.8805970149253731,0.8656716417910447,0.827893175074184,0.038460313876045156,3,0.9962825278810409,1.0,1.0,0.9962962962962963,0.9962962962962963,0.9977750240947267,0.0018166921758878884
44,5.433302402496338,0.15558998436767904,0.008049964904785156,0.001850995549907889,1,1000,20,4,75,200,deviance,0.001,"{'subsample': 1, 'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 4, 'max_features': 75, 'max_depth': 200, 'loss': 'deviance', 'learning_rate': 0.001}",0.8382352941176471,0.8088235294117647,0.7761194029850746,0.8805970149253731,0.835820895522388,0.827893175074184,0.03453433425625811,3,0.9888475836431226,0.9888475836431226,0.9925925925925926,0.9851851851851852,0.9888888888888889,0.9888723667905823,0.0023425152976085566
74,0.8759628295898437,0.04800815798527851,0.0027634620666503905,6.0294432408856973e-05,0.75,600,10,4,75,75,deviance,0.1,"{'subsample': 0.75, 'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 75, 'max_depth': 75, 'loss': 'deviance', 'learning_rate': 0.1}",0.8088235294117647,0.7941176470588235,0.835820895522388,0.835820895522388,0.8507462686567164,0.8249258160237388,0.020581157018660784,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
73,0.8065718650817871,0.014350254526150677,0.002279853820800781,8.574277295919355e-05,1,100,20,2,100,150,exponential,0.01,"{'subsample': 1, 'n_estimators': 100, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 0.01}",0.8382352941176471,0.7647058823529411,0.7910447761194029,0.8805970149253731,0.835820895522388,0.8219584569732937,0.04033216054208779,8,0.9962825278810409,0.9925650557620818,0.9962962962962963,0.9851851851851852,0.9925925925925926,0.9925843315434394,0.0040547045542048635
313,5.158144521713257,0.3496943115823037,0.007473087310791016,0.00025856912489948984,0.75,800,8,1,50,,exponential,0.001,"{'subsample': 0.75, 'n_estimators': 800, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': None, 'loss': 'exponential', 'learning_rate': 0.001}",0.8235294117647058,0.7794117647058824,0.8059701492537313,0.8656716417910447,0.835820895522388,0.8219584569732937,0.028891048764631215,8,0.9962825278810409,1.0,1.0,1.0,1.0,0.9992565055762082,0.001486988847583648
275,1.771371555328369,0.0950830904033744,0.004387950897216797,0.0002689922304743664,0.75,600,50,1,50,,deviance,0.01,"{'subsample': 0.75, 'n_estimators': 600, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': None, 'loss': 'deviance', 'learning_rate': 0.01}",0.8088235294117647,0.75,0.8059701492537313,0.8955223880597015,0.8507462686567164,0.8219584569732937,0.04869423136707851,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
