,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_loss,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
430,1.2811770915985108,0.04101926005408249,0.0034298419952392576,0.0002191596387454334,0.75,800,15,1,100,50,exponential,0.1,"{'subsample': 0.75, 'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 100, 'max_depth': 50, 'loss': 'exponential', 'learning_rate': 0.1}",0.875,0.90625,0.875,0.78125,0.6774193548387096,0.8239715947161864,0.08358217248754367,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
214,10.4558096408844,0.7113110866893374,0.006267166137695313,0.0010691694778929678,1,800,50,3,auto,150,exponential,0.01,"{'subsample': 1, 'n_estimators': 800, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 0.01}",0.84375,0.90625,0.84375,0.8125,0.7096774193548387,0.8238908299033216,0.06409670329947903,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
120,0.6431491851806641,0.0017993614368642268,0.0031731128692626953,7.601852174455555e-05,0.75,400,50,1,50,150,exponential,0.1,"{'subsample': 0.75, 'n_estimators': 400, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 150, 'loss': 'exponential', 'learning_rate': 0.1}",0.875,0.875,0.8125,0.84375,0.7096774193548387,0.8237980999329952,0.060938420821284534,3,1.0,1.0,1.0,1.0,1.0,1.0,0.0
108,1.0856374740600585,0.07647515375882574,0.004842615127563477,0.00039503973172567064,0.75,600,50,2,25,20,exponential,0.01,"{'subsample': 0.75, 'n_estimators': 600, 'min_samples_split': 50, 'min_samples_leaf': 2, 'max_features': 25, 'max_depth': 20, 'loss': 'exponential', 'learning_rate': 0.01}",0.84375,0.875,0.90625,0.84375,0.6451612903225806,0.8237741696180721,0.09115855443832019,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
321,1.9353832244873046,0.05201462488894712,0.0045260429382324215,0.00016648751453727067,0.5,400,12,1,100,150,deviance,0.01,"{'subsample': 0.5, 'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 100, 'max_depth': 150, 'loss': 'deviance', 'learning_rate': 0.01}",0.90625,0.875,0.8125,0.8125,0.6451612903225806,0.8112556236240068,0.08968966447134018,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
80,0.6473839759826661,0.014829584146453231,0.002765846252441406,1.6269443460994115e-05,1,200,10,3,75,150,deviance,0.1,"{'subsample': 1, 'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 150, 'loss': 'deviance', 'learning_rate': 0.1}",0.84375,0.875,0.875,0.8125,0.6451612903225806,0.8112556236240068,0.08518234068870788,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0
408,0.9815296173095703,0.03254182492304629,0.004915809631347657,0.00019391194978488264,1,600,50,3,sqrt,40,exponential,0.01,"{'subsample': 1, 'n_estimators': 600, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 40, 'loss': 'exponential', 'learning_rate': 0.01}",0.875,0.84375,0.84375,0.84375,0.6451612903225806,0.8111628936536804,0.0828178217470788,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
457,0.7005610942840577,0.04155009138456393,0.0033432960510253905,0.0007222656134276244,1,400,12,4,50,50,exponential,0.1,"{'subsample': 1, 'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 4, 'max_features': 50, 'max_depth': 50, 'loss': 'exponential', 'learning_rate': 0.1}",0.90625,0.84375,0.8125,0.8125,0.6451612903225806,0.804949985641811,0.08600946522277063,8,1.0,1.0,1.0,1.0,1.0,1.0,0.0
465,1.4281928062438964,0.13141621054939204,0.010093021392822265,0.006306080021403233,0.5,600,15,1,25,20,deviance,0.01,"{'subsample': 0.5, 'n_estimators': 600, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 25, 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 0.01}",0.84375,0.875,0.875,0.8125,0.6129032258064516,0.8049380204843495,0.09756305073403565,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
480,12.391395759582519,0.868660701791696,0.010007667541503906,0.0048891729446105675,0.75,800,10,3,auto,40,deviance,0.01,"{'subsample': 0.75, 'n_estimators': 800, 'min_samples_split': 10, 'min_samples_leaf': 3, 'max_features': 'auto', 'max_depth': 40, 'loss': 'deviance', 'learning_rate': 0.01}",0.90625,0.875,0.8125,0.8125,0.6129032258064516,0.8049380204843495,0.10152218287796265,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
20,0.3997501850128174,0.014743084918789316,0.0033846378326416017,0.0006624956478795105,0.75,200,20,3,sqrt,40,exponential,0.1,"{'subsample': 0.75, 'n_estimators': 200, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'max_depth': 40, 'loss': 'exponential', 'learning_rate': 0.1}",0.84375,0.84375,0.84375,0.84375,0.6451612903225806,0.8048572556714846,0.07880998890121971,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
393,0.43834700584411623,0.03401803127147603,0.002917051315307617,0.00017455776825524026,0.5,200,50,3,75,40,deviance,0.1,"{'subsample': 0.5, 'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 40, 'loss': 'deviance', 'learning_rate': 0.1}",0.875,0.84375,0.875,0.78125,0.6129032258064516,0.7987251124724801,0.09787818067221225,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
309,8.826432514190675,0.2010036880099566,0.009637546539306641,0.002781957614927166,1,1000,10,2,100,100,deviance,0.01,"{'subsample': 1, 'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 100, 'loss': 'deviance', 'learning_rate': 0.01}",0.90625,0.84375,0.75,0.8125,0.6774193548387096,0.7986563128170766,0.07836212370813798,13,1.0,1.0,1.0,1.0,1.0,1.0,0.0
373,0.813507080078125,0.10641076483997866,0.005142736434936524,0.0017887834622254582,0.5,400,50,1,50,20,deviance,0.01,"{'subsample': 0.5, 'n_estimators': 400, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 20, 'loss': 'deviance', 'learning_rate': 0.01}",0.84375,0.84375,0.84375,0.8125,0.6451612903225806,0.7986443476596151,0.0767026297745579,14,0.9921259842519685,1.0,0.9921259842519685,0.9921259842519685,1.0,0.9952755905511811,0.0038574641618632655
95,1.8057573795318604,0.1305215622720249,0.005330610275268555,0.00039364374284774946,0.75,400,12,1,25,200,deviance,0.01,"{'subsample': 0.75, 'n_estimators': 400, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 25, 'max_depth': 200, 'loss': 'deviance', 'learning_rate': 0.01}",0.84375,0.84375,0.84375,0.8125,0.6451612903225806,0.7986443476596151,0.0767026297745579,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
