,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
185,0.1324124813079834,0.008129902434296295,0.004446887969970703,0.0007087276511591788,25,20,2,100,20,True,"{'n_estimators': 25, 'min_samples_split': 20, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 20, 'bootstrap': True}",0.8115942028985508,0.8656716417910447,0.7761194029850746,0.746268656716418,0.9104477611940298,0.8219584569732937,0.05929089452457444,1,0.9589552238805971,0.9518518518518518,0.9592592592592593,0.9444444444444444,0.9740740740740741,0.9577169707020452,0.009818618314577076
211,0.9082927227020263,0.025700774870819253,0.020099449157714843,0.0019186991880665906,200,10,1,75,200,True,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': 200, 'bootstrap': True}",0.7971014492753623,0.8507462686567164,0.7761194029850746,0.746268656716418,0.9104477611940298,0.8160237388724035,0.05804797099246773,2,0.9925373134328358,0.9962962962962963,0.9925925925925926,0.9962962962962963,0.9962962962962963,0.9948037589828636,0.001828061001863565
424,2.868172025680542,0.035264722848874074,0.05976710319519043,0.0039508466220847145,600,8,1,75,75,True,"{'n_estimators': 600, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': 75, 'bootstrap': True}",0.8115942028985508,0.8507462686567164,0.8208955223880597,0.7014925373134329,0.8955223880597015,0.8160237388724035,0.06413151256249268,2,0.9925373134328358,0.9925925925925926,0.9925925925925926,0.9962962962962963,0.9962962962962963,0.9940630182421227,0.001823575612974717
183,2.2410433769226072,0.06395212884706795,0.04046893119812012,0.002906520072441272,400,8,2,100,30,True,"{'n_estimators': 400, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 30, 'bootstrap': True}",0.8115942028985508,0.8507462686567164,0.7910447761194029,0.7313432835820896,0.8955223880597015,0.8160237388724035,0.05522604746239849,2,0.9888059701492538,0.9962962962962963,0.9962962962962963,0.9925925925925926,0.9962962962962963,0.9940574903261471,0.0029920276086299337
285,0.48342070579528806,0.010625330411531355,0.012093114852905273,0.0004268509344440432,100,8,2,75,200,True,"{'n_estimators': 100, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 75, 'max_depth': 200, 'bootstrap': True}",0.782608695652174,0.8507462686567164,0.8059701492537313,0.7164179104477612,0.9104477611940298,0.8130563798219584,0.06499760327613871,5,0.9888059701492538,0.9888888888888889,0.9962962962962963,0.9888888888888889,0.9962962962962963,0.9918352681039249,0.0036425401060807133
301,0.11908435821533203,0.006051332640244137,0.0053580284118652345,0.0013087344553376777,25,8,4,50,20,False,"{'n_estimators': 25, 'min_samples_split': 8, 'min_samples_leaf': 4, 'max_features': 50, 'max_depth': 20, 'bootstrap': False}",0.782608695652174,0.7910447761194029,0.835820895522388,0.7761194029850746,0.8805970149253731,0.8130563798219584,0.03958979626819451,5,1.0,0.9962962962962963,1.0,1.0,1.0,0.9992592592592594,0.0014814814814814612
349,2.9274638175964354,0.07085258931860751,0.0812985897064209,0.004364966695059123,800,15,1,50,30,True,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 30, 'bootstrap': True}",0.7971014492753623,0.8507462686567164,0.8059701492537313,0.7164179104477612,0.8955223880597015,0.8130563798219584,0.059609510650996254,5,0.9850746268656716,0.9851851851851852,0.9851851851851852,0.9925925925925926,0.9888888888888889,0.9873852957435048,0.002979828734072202
288,4.819188070297241,0.1268778939509952,0.12911038398742675,0.01807999975283584,1000,10,1,75,75,True,"{'n_estimators': 1000, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': 75, 'bootstrap': True}",0.7971014492753623,0.8507462686567164,0.8208955223880597,0.7014925373134329,0.8955223880597015,0.8130563798219584,0.06460138492920338,5,0.996268656716418,0.9925925925925926,0.9925925925925926,0.9962962962962963,0.9962962962962963,0.9948092868988392,0.0018099514609736878
446,1.0442416667938232,0.03730763702747901,0.025082111358642578,0.0033269931634020864,200,8,3,50,75,False,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 50, 'max_depth': 75, 'bootstrap': False}",0.7971014492753623,0.8208955223880597,0.835820895522388,0.7313432835820896,0.8656716417910447,0.8100890207715133,0.04512682555130187,9,1.0,0.9962962962962963,1.0,1.0,1.0,0.9992592592592594,0.0014814814814814612
11,0.30800676345825195,0.017619114517671963,0.009586048126220704,0.0025574187235050576,50,12,3,100,75,True,"{'n_estimators': 50, 'min_samples_split': 12, 'min_samples_leaf': 3, 'max_features': 100, 'max_depth': 75, 'bootstrap': True}",0.7971014492753623,0.8656716417910447,0.7611940298507462,0.7761194029850746,0.8507462686567164,0.8100890207715133,0.04101364231479906,9,0.9664179104477612,0.9629629629629629,0.9666666666666667,0.9592592592592593,0.9703703703703703,0.9651354339414041,0.0037588040148653613
