,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
101,1.8734498500823975,0.10237784081917245,0.02012491226196289,0.0009623894161384776,200,15,2,100,40,False,"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 40, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.7931034482758621,0.8214285714285714,0.75,0.8181250091359575,0.04792271233503364,1,0.9912280701754386,0.9912280701754386,0.9824561403508771,0.991304347826087,1.0,0.9912433257055682,0.005547939443037414
199,3.2392534255981444,0.08944953810494218,0.04049339294433594,0.0034618038400453383,400,15,1,75,,False,"{'n_estimators': 400, 'min_samples_split': 15, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': None, 'bootstrap': False}",0.8620689655172413,0.8620689655172413,0.7931034482758621,0.7857142857142857,0.75,0.8110245428366784,0.04441830536926463,2,0.9912280701754386,0.9912280701754386,0.9912280701754386,0.991304347826087,1.0,0.9929977116704805,0.0035012687992254125
390,0.20795364379882814,0.02572608876795818,0.004846525192260742,0.0005383767179217812,25,50,1,75,30,False,"{'n_estimators': 25, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': 30, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.8275862068965517,0.7857142857142857,0.7142857142857143,0.8109879990060078,0.05955550494914829,3,0.9824561403508771,0.9912280701754386,0.9824561403508771,0.9739130434782609,0.9826086956521739,0.9825324180015255,0.0054758641097446365
334,8.514781379699707,0.665687260561508,0.10503807067871093,0.013807824851675117,800,12,2,75,75,False,"{'n_estimators': 800, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 75, 'max_depth': 75, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7931034482758621,0.8214285714285714,0.7142857142857143,0.8041725745859585,0.05842077155646086,4,0.9912280701754386,0.9912280701754386,0.9912280701754386,1.0,1.0,0.9947368421052631,0.004297350425935414
196,4.899149703979492,0.0897089647458739,0.0847841739654541,0.010725046883832039,800,20,1,100,40,True,"{'n_estimators': 800, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 100, 'max_depth': 40, 'bootstrap': True}",0.896551724137931,0.7931034482758621,0.7586206896551724,0.7857142857142857,0.7857142857142857,0.8041031413076845,0.047956715017950326,5,0.9912280701754386,0.9824561403508771,0.9824561403508771,0.9826086956521739,0.9826086956521739,0.9842715484363082,0.003478929907419715
499,1.1918698787689208,0.11554180660685967,0.02909121513366699,0.01450372074136816,200,12,1,50,30,False,"{'n_estimators': 200, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 30, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.7586206896551724,0.7857142857142857,0.75,0.8040665974770139,0.053793571109641086,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
410,4.8591571807861325,0.2811351922152599,0.06653976440429688,0.0037041573693659645,600,20,1,75,75,False,"{'n_estimators': 600, 'min_samples_split': 20, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': 75, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.7931034482758621,0.7857142857142857,0.7142857142857143,0.8040300536463434,0.05922326797223956,7,0.9912280701754386,0.9912280701754386,0.9824561403508771,0.991304347826087,0.991304347826087,0.9895041952707857,0.0035241925592267745
342,9.742803573608398,0.4152206142533014,0.11545262336730958,0.014819428960529913,1000,12,2,100,30,False,"{'n_estimators': 1000, 'min_samples_split': 12, 'min_samples_leaf': 2, 'max_features': 100, 'max_depth': 30, 'bootstrap': False}",0.8620689655172413,0.7931034482758621,0.7931034482758621,0.8214285714285714,0.7142857142857143,0.797214629226294,0.048155628394275826,8,0.9912280701754386,0.9912280701754386,0.9824561403508771,1.0,1.0,0.9929824561403509,0.006564311204866584
423,0.2776998519897461,0.014717450341102509,0.0047358512878417965,8.453027751894205e-05,25,8,1,100,40,False,"{'n_estimators': 25, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 100, 'max_depth': 40, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.7586206896551724,0.8214285714285714,0.6785714285714286,0.7971780853956235,0.07315155843658074,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
498,0.7515778064727783,0.043319034263796484,0.011240386962890625,0.0004973349063367239,100,50,1,75,,False,"{'n_estimators': 100, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 75, 'max_depth': None, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.7586206896551724,0.7857142857142857,0.7142857142857143,0.7970721082866791,0.06205614443619363,10,0.9912280701754386,0.9912280701754386,0.9824561403508771,0.9826086956521739,0.9826086956521739,0.9860259344012204,0.0042478913386440765
111,0.29028120040893557,0.022349493419530807,0.009002447128295898,0.0023188236829252084,50,12,1,50,20,False,"{'n_estimators': 50, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 20, 'bootstrap': False}",0.896551724137931,0.8275862068965517,0.7241379310344828,0.75,0.7857142857142857,0.797002675008405,0.06102354853613745,11,0.9912280701754386,1.0,0.9912280701754386,1.0,1.0,0.9964912280701753,0.004297350425935414
220,0.5847422122955322,0.02267328831983392,0.012391185760498047,0.00039609842974962684,100,12,1,50,200,False,"{'n_estimators': 100, 'min_samples_split': 12, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 200, 'bootstrap': False}",0.8620689655172413,0.8275862068965517,0.7931034482758621,0.75,0.75,0.7969661311777346,0.04379457493284572,12,0.9912280701754386,0.9912280701754386,1.0,1.0,1.0,0.9964912280701753,0.004297350425935414
170,0.9588229656219482,0.03093688643111591,0.019527578353881837,0.0005172912610590879,200,50,1,50,50,False,"{'n_estimators': 200, 'min_samples_split': 50, 'min_samples_leaf': 1, 'max_features': 50, 'max_depth': 50, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7931034482758621,0.75,0.75,0.7969661311777346,0.05364402478265085,12,0.9824561403508771,0.9912280701754386,0.9824561403508771,0.9739130434782609,0.9739130434782609,0.9807932875667429,0.006466689482081637
143,1.0371339797973633,0.04459142084840119,0.024791383743286134,0.005773258833463987,200,8,2,50,50,False,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 2, 'max_features': 50, 'max_depth': 50, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7241379310344828,0.7857142857142857,0.75,0.7901507067576852,0.05903455387591297,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
106,3.7664308547973633,0.08618254864178629,0.07616715431213379,0.005654436461352167,800,15,3,50,,False,"{'n_estimators': 800, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 50, 'max_depth': None, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7241379310344828,0.7857142857142857,0.75,0.7901507067576852,0.05903455387591297,14,0.9912280701754386,0.9912280701754386,0.9824561403508771,0.9826086956521739,1.0,0.9895041952707857,0.006531897112354172
456,1.9587014675140382,0.1826461297303172,0.023625898361206054,0.003434640714089776,200,15,3,100,75,False,"{'n_estimators': 200, 'min_samples_split': 15, 'min_samples_leaf': 3, 'max_features': 100, 'max_depth': 75, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7586206896551724,0.7857142857142857,0.7142857142857143,0.7901141629270146,0.060148568955022484,16,0.9912280701754386,0.9912280701754386,0.9736842105263158,1.0,1.0,0.9912280701754387,0.00960916767552922
277,7.4039819717407225,0.4484653459473761,0.10012683868408204,0.00901944462771627,1000,20,3,75,50,False,"{'n_estimators': 1000, 'min_samples_split': 20, 'min_samples_leaf': 3, 'max_features': 75, 'max_depth': 50, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7586206896551724,0.7857142857142857,0.7142857142857143,0.7901141629270146,0.060148568955022484,16,0.9824561403508771,0.9824561403508771,0.9649122807017544,0.9739130434782609,0.9739130434782609,0.9755301296720061,0.006540762954254637
118,1.9069771766662598,0.12148479443447206,0.03767719268798828,0.001171395493901638,400,50,2,50,,False,"{'n_estimators': 400, 'min_samples_split': 50, 'min_samples_leaf': 2, 'max_features': 50, 'max_depth': None, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7586206896551724,0.75,0.75,0.7900081858180702,0.055883362593286356,18,0.9649122807017544,0.9736842105263158,0.956140350877193,0.9652173913043478,0.9739130434782609,0.9667734553775743,0.006598188734239917
424,1.9927589893341064,0.12809225104003136,0.0339561939239502,0.019720616408795872,200,8,3,100,150,False,"{'n_estimators': 200, 'min_samples_split': 8, 'min_samples_leaf': 3, 'max_features': 100, 'max_depth': 150, 'bootstrap': False}",0.896551724137931,0.7931034482758621,0.7931034482758621,0.75,0.7142857142857143,0.7899716419873998,0.06111930869116633,19,1.0,1.0,0.9912280701754386,1.0,1.0,0.9982456140350877,0.0035087719298245723
