,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_classify__tol,param_classify__shrinking,param_classify__gamma,param_classify__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
75,0.03202939033508301,0.004955244052630261,0.005695867538452149,0.0007132242504008853,all,0.001,True,0.0001,16,"{'reduce_dim__k': 'all', 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 0.0001, 'classify__C': 16}",0.7352941176470589,0.8382352941176471,0.7794117647058824,0.7910447761194029,0.7272727272727273,0.7744807121661721,0.04032285670749557,1,0.8550185873605948,0.8364312267657993,0.8513011152416357,0.8481481481481481,0.8671586715867159,0.8516115498205787,0.009958460009760963
166,0.01145167350769043,0.00555569943084815,0.002857542037963867,0.0031280465082380387,15,0.001,False,0.01,8,"{'reduce_dim__k': 15, 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 8}",0.7794117647058824,0.75,0.8235294117647058,0.7761194029850746,0.7272727272727273,0.771513353115727,0.03224068620649176,2,0.8104089219330854,0.7769516728624535,0.8141263940520446,0.8074074074074075,0.8265682656826568,0.8070925323875295,0.01642162230782847
218,0.008803129196166992,0.0008843981570782163,0.0013841629028320313,0.00035228245824275894,20,1e-06,False,0.001,16,"{'reduce_dim__k': 20, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 16}",0.7794117647058824,0.7794117647058824,0.8235294117647058,0.7910447761194029,0.6515151515151515,0.7655786350148368,0.058581930081251385,3,0.7806691449814126,0.7732342007434945,0.7806691449814126,0.7925925925925926,0.8154981549815498,0.7885326476560924,0.014841385142726257
337,0.00696258544921875,0.0009600865372876638,0.002422809600830078,0.0021622999286003116,20,0.0001,False,0.001,16,"{'reduce_dim__k': 20, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 16}",0.7794117647058824,0.7794117647058824,0.8235294117647058,0.7910447761194029,0.6515151515151515,0.7655786350148368,0.058581930081251385,3,0.7806691449814126,0.7732342007434945,0.7806691449814126,0.7925925925925926,0.8154981549815498,0.7885326476560924,0.014841385142726257
269,0.009489822387695312,0.007118143564679287,0.0011691570281982422,0.00011440568620046361,10,0.0001,True,0.01,4,"{'reduce_dim__k': 10, 'classify__tol': 0.0001, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 4}",0.8088235294117647,0.75,0.7794117647058824,0.8059701492537313,0.6818181818181818,0.7655786350148368,0.04651141510602533,3,0.7843866171003717,0.758364312267658,0.8066914498141264,0.7962962962962963,0.7970479704797048,0.7885573291916315,0.016672384606891393
321,0.009637451171875,0.0012212896297802594,0.00177154541015625,8.113669741570965e-05,50,0.0001,False,0.01,0.75,"{'reduce_dim__k': 50, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 0.75}",0.7647058823529411,0.7941176470588235,0.7647058823529411,0.8059701492537313,0.696969696969697,0.7655786350148368,0.037561857680491945,3,0.8401486988847584,0.79182156133829,0.8252788104089219,0.8296296296296296,0.8413284132841329,0.8256414227091465,0.01797978331682563
467,0.007518339157104492,0.002775617806918012,0.0013494491577148438,0.00019686220777053487,10,0.1,True,0.1,0.75,"{'reduce_dim__k': 10, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 0.75}",0.7941176470588235,0.7647058823529411,0.7794117647058824,0.8059701492537313,0.6666666666666666,0.7626112759643917,0.04934303780879138,7,0.8066914498141264,0.7695167286245354,0.8178438661710037,0.8148148148148148,0.8228782287822878,0.8063490176413536,0.0191507224900511
3,0.00584254264831543,0.000262123184702065,0.0012730598449707032,0.00010418347403398095,15,1,False,0.1,0.5,"{'reduce_dim__k': 15, 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 0.5}",0.75,0.7647058823529411,0.7941176470588235,0.7910447761194029,0.696969696969697,0.7596439169139466,0.035058039562458676,8,0.8252788104089219,0.7992565055762082,0.8215613382899628,0.837037037037037,0.8413284132841329,0.8248924209192525,0.014738243514499105
483,0.016442346572875976,0.002902892600172593,0.0025723934173583984,0.00021000173716034706,100,0.01,False,0.001,8,"{'reduce_dim__k': 100, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 8}",0.7205882352941176,0.8088235294117647,0.7794117647058824,0.8208955223880597,0.6666666666666666,0.7596439169139466,0.05756393713160724,8,0.8475836431226765,0.8327137546468402,0.8550185873605948,0.8518518518518519,0.8745387453874539,0.8523413164738836,0.013475977473869994
79,0.009734487533569336,0.004079141833752431,0.001416778564453125,0.00042140705008243467,10,1e-05,False,0.1,1,"{'reduce_dim__k': 10, 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 1}",0.7794117647058824,0.7647058823529411,0.7941176470588235,0.8059701492537313,0.6515151515151515,0.7596439169139466,0.05513886429334947,8,0.8104089219330854,0.7806691449814126,0.8178438661710037,0.8148148148148148,0.8228782287822878,0.8093229953365209,0.014891152080852647
329,0.007648897171020508,0.003794248616964369,0.0011334896087646484,0.00014419364864863197,10,0.001,False,0.001,16,"{'reduce_dim__k': 10, 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.001, 'classify__C': 16}",0.7941176470588235,0.7647058823529411,0.7647058823529411,0.8059701492537313,0.6666666666666666,0.7596439169139466,0.04868122460376702,8,0.7732342007434945,0.7397769516728625,0.7806691449814126,0.774074074074074,0.7859778597785978,0.7707464462500884,0.016166802602322648
408,0.03338403701782226,0.010619062606510245,0.003781414031982422,0.0010553247540638628,150,0.001,True,0.001,64,"{'reduce_dim__k': 150, 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 64}",0.6617647058823529,0.8676470588235294,0.75,0.8208955223880597,0.696969696969697,0.7596439169139466,0.07629408386149282,8,0.9368029739776952,0.9442379182156134,0.9516728624535316,0.9296296296296296,0.959409594095941,0.9443505956744822,0.01052687185276156
200,0.008899402618408204,0.0027762164130219996,0.001308441162109375,0.000232816151454037,15,0.01,False,0.1,0.5,"{'reduce_dim__k': 15, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 0.5}",0.7352941176470589,0.75,0.7941176470588235,0.8059701492537313,0.7121212121212122,0.7596439169139466,0.03531549718070408,8,0.828996282527881,0.8104089219330854,0.8252788104089219,0.825925925925926,0.8413284132841329,0.8263876708159895,0.009867054638255232
190,0.03162646293640137,0.0029746405328945876,0.005899238586425781,0.0006706986843867585,all,1e-05,False,1e-05,128,"{'reduce_dim__k': 'all', 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 1e-05, 'classify__C': 128}",0.75,0.8088235294117647,0.75,0.7611940298507462,0.7121212121212122,0.7566765578635015,0.030976412704399187,14,0.8550185873605948,0.8104089219330854,0.8401486988847584,0.825925925925926,0.8597785977859779,0.8382561463780684,0.018304531367815843
110,0.008292675018310547,0.002107331425525706,0.0011214733123779297,5.190529621603054e-05,15,1e-06,True,0.001,128,"{'reduce_dim__k': 15, 'classify__tol': 1e-06, 'classify__shrinking': True, 'classify__gamma': 0.001, 'classify__C': 128}",0.7647058823529411,0.75,0.8235294117647058,0.7313432835820896,0.7121212121212122,0.7566765578635015,0.037950012068937354,14,0.8029739776951673,0.7769516728624535,0.8104089219330854,0.7814814814814814,0.8228782287822878,0.7989388565508951,0.01737316514753318
162,0.010550260543823242,0.004231901055896692,0.002787351608276367,0.002588295932082321,15,0.01,True,0.1,0.25,"{'reduce_dim__k': 15, 'classify__tol': 0.01, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 0.25}",0.7205882352941176,0.7647058823529411,0.7941176470588235,0.8059701492537313,0.696969696969697,0.7566765578635015,0.04171239019421795,14,0.8252788104089219,0.7843866171003717,0.8215613382899628,0.8037037037037037,0.8228782287822878,0.8115617396570496,0.015597749478481852
