,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reduce_dim__k,param_classify__tol,param_classify__shrinking,param_classify__gamma,param_classify__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
110,0.013107919692993164,0.0002007556130223138,0.003511381149291992,0.00010025215201543797,100,1,True,0.1,128,"{'reduce_dim__k': 100, 'classify__tol': 1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 128}",0.875,0.875,0.8064516129032258,0.8709677419354839,0.8064516129032258,0.8469417057528476,0.03292966111592926,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
426,0.016576719284057618,0.0007868744101495704,0.004468297958374024,0.001128952727543872,100,0.0001,False,0.1,64,"{'reduce_dim__k': 100, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 64}",0.875,0.875,0.8064516129032258,0.8387096774193549,0.8064516129032258,0.8405283813534986,0.030691037054101554,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
407,0.015330028533935548,0.000574713598440339,0.004547977447509765,0.0010313986916262047,100,0.1,True,0.1,8,"{'reduce_dim__k': 100, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 8}",0.875,0.875,0.8064516129032258,0.8387096774193549,0.8064516129032258,0.8405283813534986,0.030691037054101554,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
88,0.016136789321899415,0.001918317633364208,0.003827667236328125,0.0003822471207609533,100,0.01,False,0.1,64,"{'reduce_dim__k': 100, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 64}",0.875,0.875,0.8064516129032258,0.8387096774193549,0.8064516129032258,0.8405283813534986,0.030691037054101554,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
309,0.015699434280395507,0.0013214208460625902,0.0035039424896240235,5.4727654065966006e-05,100,0.0001,True,0.1,64,"{'reduce_dim__k': 100, 'classify__tol': 0.0001, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 64}",0.875,0.875,0.8064516129032258,0.8387096774193549,0.8064516129032258,0.8405283813534986,0.030691037054101554,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
455,0.015822505950927733,0.000654043682527184,0.0036319732666015626,9.914665779973512e-05,100,1e-05,False,0.1,1,"{'reduce_dim__k': 100, 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 1}",0.875,0.84375,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.8278094189719537,0.027797430663921808,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
422,0.012614631652832031,0.0005244534535860175,0.0031250476837158202,0.00013127324367236107,75,0.001,False,0.1,32,"{'reduce_dim__k': 75, 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 32}",0.90625,0.84375,0.7419354838709677,0.8387096774193549,0.7741935483870968,0.8212884081554512,0.05754602458194535,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
298,0.01446232795715332,0.0005858315369537253,0.0031757354736328125,0.0001500357339590852,75,1e-05,True,0.1,2,"{'reduce_dim__k': 75, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 2}",0.90625,0.84375,0.7419354838709677,0.8387096774193549,0.7741935483870968,0.8212884081554512,0.05754602458194535,7,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,0.011736392974853516,0.0005741617784696447,0.0027148246765136717,0.0004116007251705162,50,0.0001,False,0.1,256,"{'reduce_dim__k': 50, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 256}",0.90625,0.8125,0.7096774193548387,0.8064516129032258,0.8064516129032258,0.8085694457739064,0.06224552556951287,9,1.0,1.0,1.0,1.0,1.0,1.0,0.0
495,0.011536216735839844,0.0011465032670575405,0.0030281543731689453,0.00011912982199280574,75,1,False,0.1,1,"{'reduce_dim__k': 75, 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 1}",0.90625,0.8125,0.7096774193548387,0.7741935483870968,0.7741935483870968,0.7957427969752082,0.06463802901842682,10,0.992,0.984,0.9682539682539683,0.9682539682539683,0.9761904761904762,0.9777396825396826,0.009218522876316138
206,0.007190513610839844,0.000911902132155124,0.001791238784790039,7.692123857528944e-05,15,0.1,False,1,128,"{'reduce_dim__k': 15, 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 1, 'classify__C': 128}",0.8125,0.75,0.7419354838709677,0.8709677419354839,0.6451612903225806,0.7642146070642291,0.07545551704240493,11,1.0,1.0,1.0,1.0,1.0,1.0,0.0
473,0.029368019104003905,0.0005865752873543931,0.006563234329223633,8.86640710727378e-05,all,0.001,True,0.01,64,"{'reduce_dim__k': 'all', 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 64}",0.75,0.78125,0.8064516129032258,0.7096774193548387,0.6451612903225806,0.7386689958839858,0.056662785713084675,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
279,0.032364177703857425,0.0033485171672615315,0.008623027801513672,0.0025410715673234493,all,0.1,False,0.01,8,"{'reduce_dim__k': 'all', 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 8}",0.75,0.78125,0.8064516129032258,0.7096774193548387,0.6451612903225806,0.7386689958839858,0.056662785713084675,12,1.0,1.0,1.0,1.0,1.0,1.0,0.0
299,0.025613689422607423,0.001441859467271132,0.006873559951782226,0.0020004733641445587,200,0.001,True,0.01,32,"{'reduce_dim__k': 200, 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 32}",0.71875,0.8125,0.7096774193548387,0.6774193548387096,0.6774193548387096,0.7194290226859386,0.04968498787412522,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
282,0.025102996826171876,0.0029796925956430123,0.005449962615966797,0.00040013148513415737,200,0.0001,False,0.01,32,"{'reduce_dim__k': 200, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 32}",0.71875,0.8125,0.7096774193548387,0.6774193548387096,0.6774193548387096,0.7194290226859386,0.04968498787412522,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
182,0.026323366165161132,0.0036408308774504446,0.0066318511962890625,0.0027063590895109305,200,1e-06,False,0.01,64,"{'reduce_dim__k': 200, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 64}",0.71875,0.8125,0.7096774193548387,0.6774193548387096,0.6774193548387096,0.7194290226859386,0.04968498787412522,14,1.0,1.0,1.0,1.0,1.0,1.0,0.0
180,0.023027992248535155,0.0003677561750401484,0.006350851058959961,0.0020173361410604023,200,1e-05,False,0.01,8,"{'reduce_dim__k': 200, 'classify__tol': 1e-05, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 8}",0.71875,0.78125,0.7096774193548387,0.6774193548387096,0.6774193548387096,0.7131233847037427,0.0381070119197217,17,1.0,1.0,1.0,1.0,1.0,1.0,0.0
260,0.02554621696472168,0.00333152157100583,0.006999588012695313,0.0012684359989105348,all,1,False,0.01,128,"{'reduce_dim__k': 'all', 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 128}",0.6875,0.75,0.8064516129032258,0.6774193548387096,0.6129032258064516,0.7069254331387,0.06595827426634274,18,1.0,1.0,1.0,1.0,1.0,1.0,0.0
92,0.00637202262878418,0.0008360508890280166,0.001831817626953125,0.0004929179988022228,10,0.1,True,2,2,"{'reduce_dim__k': 10, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 2, 'classify__C': 2}",0.8125,0.71875,0.6129032258064516,0.7741935483870968,0.6129032258064516,0.7066023738872403,0.08180381731736386,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
192,0.008309650421142577,0.00027867570279133005,0.0016300201416015625,6.904700842303402e-05,10,1e-06,True,2,2,"{'reduce_dim__k': 10, 'classify__tol': 1e-06, 'classify__shrinking': True, 'classify__gamma': 2, 'classify__C': 2}",0.84375,0.6875,0.6129032258064516,0.7741935483870968,0.6129032258064516,0.7066023738872403,0.09093005016627671,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
60,0.007435655593872071,0.001017777538955286,0.0019692420959472657,0.0007296407194613984,10,0.001,True,2,256,"{'reduce_dim__k': 10, 'classify__tol': 0.001, 'classify__shrinking': True, 'classify__gamma': 2, 'classify__C': 256}",0.84375,0.6875,0.6129032258064516,0.7741935483870968,0.6129032258064516,0.7066023738872403,0.09093005016627671,19,1.0,1.0,1.0,1.0,1.0,1.0,0.0
345,0.011175394058227539,0.0014318925548587138,0.0018124580383300781,6.97409188793872e-05,25,0.0001,True,0.1,128,"{'reduce_dim__k': 25, 'classify__tol': 0.0001, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 128}",0.71875,0.71875,0.7096774193548387,0.7741935483870968,0.5806451612903226,0.7005121087393511,0.06392842491411284,22,1.0,1.0,1.0,1.0,1.0,1.0,0.0
322,0.008698797225952149,0.00035319765100344286,0.0016953468322753907,8.307830778927168e-05,10,1e-06,False,1,16,"{'reduce_dim__k': 10, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 1, 'classify__C': 16}",0.75,0.6875,0.6451612903225806,0.7741935483870968,0.6451612903225806,0.700512108739351,0.053159142468535606,23,1.0,1.0,1.0,1.0,1.0,1.0,0.0
136,0.007334232330322266,0.0018537143173445922,0.0018961429595947266,0.00015438320076979317,20,0.01,False,0.1,0.125,"{'reduce_dim__k': 20, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 0.125}",0.6875,0.78125,0.7096774193548387,0.6774193548387096,0.6451612903225806,0.7004044223221978,0.04562136808665195,24,0.736,0.688,0.746031746031746,0.753968253968254,0.7142857142857143,0.7276571428571429,0.02387881050916963
491,0.008903932571411134,0.0009915612686878738,0.002007579803466797,0.00014748493907232527,25,0.1,True,0.1,128,"{'reduce_dim__k': 25, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 128}",0.71875,0.6875,0.7096774193548387,0.7741935483870968,0.5806451612903226,0.6942064707571552,0.06335716651558734,25,1.0,1.0,1.0,1.0,1.0,1.0,0.0
382,0.0283905029296875,0.0014976196621786471,0.006566762924194336,0.00041238731705178116,all,0.001,False,0.01,0.75,"{'reduce_dim__k': 'all', 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 0.75}",0.75,0.71875,0.7741935483870968,0.6129032258064516,0.6129032258064516,0.6939910979228486,0.06819103035042885,26,0.872,0.872,0.8888888888888888,0.873015873015873,0.8968253968253969,0.8805460317460317,0.01036719441703612
262,0.005850601196289063,0.00016943383021451544,0.0016325950622558595,9.7994456226309e-05,10,0.01,False,1,0.75,"{'reduce_dim__k': 10, 'classify__tol': 0.01, 'classify__shrinking': False, 'classify__gamma': 1, 'classify__C': 0.75}",0.78125,0.625,0.6129032258064516,0.7419354838709677,0.6774193548387096,0.6877931463578061,0.06540061733636167,27,0.92,0.912,0.9206349206349206,0.9047619047619048,0.9126984126984127,0.9140190476190476,0.005849049339927123
45,0.008711719512939453,0.0012204087599092836,0.0021800994873046875,0.0004524476857201039,20,0.1,True,0.1,256,"{'reduce_dim__k': 20, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 256}",0.6875,0.71875,0.6774193548387096,0.7741935483870968,0.5806451612903226,0.6877931463578061,0.06309865947089877,27,1.0,1.0,1.0,1.0,1.0,1.0,0.0
330,0.006251287460327148,0.00021650404564873857,0.0019115924835205079,0.0006809783627579252,10,0.0001,False,1,0.75,"{'reduce_dim__k': 10, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 1, 'classify__C': 0.75}",0.78125,0.625,0.6129032258064516,0.7419354838709677,0.6774193548387096,0.6877931463578061,0.06540061733636167,27,0.92,0.912,0.9206349206349206,0.9047619047619048,0.9126984126984127,0.9140190476190476,0.005849049339927123
457,0.018264007568359376,0.000464026293831099,0.004406070709228516,0.00034365090608643313,150,0.1,True,0.01,16,"{'reduce_dim__k': 150, 'classify__tol': 0.1, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 16}",0.65625,0.78125,0.6774193548387096,0.6451612903225806,0.6774193548387096,0.6876854599406528,0.0486545948090471,30,1.0,1.0,1.0,1.0,1.0,1.0,0.0
190,0.006270980834960938,0.001499663935136779,0.0015739917755126954,3.277380566459815e-05,20,1,False,0.1,0.125,"{'reduce_dim__k': 20, 'classify__tol': 1, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 0.125}",0.6875,0.78125,0.6774193548387096,0.6774193548387096,0.6129032258064516,0.6875777735234995,0.054038800390246756,31,0.728,0.72,0.753968253968254,0.7619047619047619,0.7222222222222222,0.7372190476190477,0.01729920006830591
281,0.01856966018676758,0.003264170644806095,0.00304560661315918,8.480591421312752e-05,100,0.0001,False,0.01,64,"{'reduce_dim__k': 100, 'classify__tol': 0.0001, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 64}",0.6875,0.78125,0.6774193548387096,0.6129032258064516,0.6774193548387096,0.6875777735234995,0.05403880039024675,31,1.0,1.0,1.0,1.0,1.0,1.0,0.0
368,0.007769250869750976,0.0006536349874582836,0.002031850814819336,0.0004556581732911862,20,1e-06,True,0.1,0.25,"{'reduce_dim__k': 20, 'classify__tol': 1e-06, 'classify__shrinking': True, 'classify__gamma': 0.1, 'classify__C': 0.25}",0.6875,0.78125,0.6774193548387096,0.6774193548387096,0.6129032258064516,0.6875777735234995,0.054038800390246756,31,0.736,0.688,0.746031746031746,0.7619047619047619,0.7222222222222222,0.730831746031746,0.025027846622831224
353,0.026726818084716795,0.00440234120468062,0.006816196441650391,0.002799827746675224,150,1e-05,True,0.01,8,"{'reduce_dim__k': 150, 'classify__tol': 1e-05, 'classify__shrinking': True, 'classify__gamma': 0.01, 'classify__C': 8}",0.6875,0.6875,0.7096774193548387,0.6451612903225806,0.6774193548387096,0.6814875083756102,0.020933767065234154,34,0.992,0.976,0.9920634920634921,0.9841269841269841,1.0,0.9888380952380953,0.008148621988558648
352,0.01147599220275879,0.003975312690440925,0.0018370628356933593,0.0002975399447624066,20,0.001,False,0.1,32,"{'reduce_dim__k': 20, 'classify__tol': 0.001, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 32}",0.6875,0.71875,0.6774193548387096,0.7419354838709677,0.5806451612903226,0.6813798219584569,0.05512679853314704,35,0.976,1.0,1.0,1.0,0.9841269841269841,0.9920253968253968,0.010099318332868413
492,0.015889072418212892,0.0024592497832416097,0.0022729873657226563,0.0006578502982438955,20,1e-06,False,0.1,32,"{'reduce_dim__k': 20, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 0.1, 'classify__C': 32}",0.6875,0.71875,0.6774193548387096,0.7419354838709677,0.5806451612903226,0.6813798219584569,0.05512679853314704,35,0.976,1.0,1.0,1.0,0.9841269841269841,0.9920253968253968,0.010099318332868413
307,0.017544364929199217,0.0032311276861909403,0.004088163375854492,0.00015774390129008497,150,0.1,False,0.01,256,"{'reduce_dim__k': 150, 'classify__tol': 0.1, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 256}",0.65625,0.75,0.6774193548387096,0.6451612903225806,0.6774193548387096,0.6813798219584569,0.036668671607297885,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0
451,0.016680049896240234,0.0010772754783725076,0.002871417999267578,7.495655658263274e-05,100,1e-06,False,0.01,16,"{'reduce_dim__k': 100, 'classify__tol': 1e-06, 'classify__shrinking': False, 'classify__gamma': 0.01, 'classify__C': 16}",0.6875,0.78125,0.6451612903225806,0.6129032258064516,0.6774193548387096,0.6811644491241504,0.05671191337649125,38,1.0,1.0,0.9920634920634921,1.0,0.9920634920634921,0.9968253968253968,0.003888078956798681
